,ID,Transportation,Speed,Rating,rating_weather,Displacements
0,1,car_1,19.211,3,0,0.018643621075977546
1,2,car_2,30.848,3,0,0.035939459273430716
2,8,car_3,25.807,2,0,0.002896139363518285
3,10,car_4,1.347,2,0,5.591445609102946e-05
4,11,car_5,36.851,3,0,0.012848887860433348
5,16,car_6,15.041,3,0,0.02302117954192277
6,17,car_7,14.44,3,0,0.022444455772761898
7,20,car_8,9.452,2,0,0.021485893628145753
8,21,car_9,9.452,2,0,0.021485893628145753
9,22,car_10,16.264,2,0,0.05349019453237663
10,23,car_11,21.224,3,0,0.008569595640613659
11,28,car_12,8.686,3,0,0.018277896510379837
12,30,car_13,54.996,3,0,0.40867019576811514
13,31,car_14,54.996,3,0,0.40867019576811514
14,34,car_15,14.534,3,0,0.008116065488386628
15,35,car_16,10.288,3,0,0.015820770311878507
16,36,car_17,18.328,3,0,0.012543749163760783
17,37,car_18,17.178,3,0,0.015749525394919136
18,38,car_19,17.098,3,0,0.012702676070535325
19,39,car_20,32.521,3,0,0.04164132073398436
20,40,car_21,19.935,3,0,0.05072055001817886
21,41,car_22,21.514,2,0,0.09230060022735483
22,42,car_23,27.526,3,0,0.04939542934939095
23,43,car_24,28.105,3,0,0.04921049775344386
24,44,car_25,22.322,3,0,0.009366802286479835
25,45,car_26,22.322,3,0,0.009366802286479835
26,46,car_27,32.377,3,0,0.03003969302672898
27,47,car_28,22.378,2,0,0.05412369993307186
28,48,car_29,24.908,2,0,0.05285548168643455
29,54,car_30,0.066,2,0,1.8801468032020795e-05
30,55,car_31,83.328,3,0,0.0611604541338047
31,56,car_32,83.328,3,0,0.0611604541338047
32,131,car_33,19.833,3,0,0.05612866136750025
33,132,car_34,16.893,3,0,0.056285176936133836
34,133,car_35,20.583,3,0,0.05611679736243388
35,134,car_36,0.307,2,0,0.00015820169965268134
36,135,car_37,0.307,2,0,0.00015820169965268134
37,136,car_38,21.672,3,0,0.044429257091267695
38,137,car_39,21.672,3,0,0.044429257091267695
39,138,car_40,33.201,3,0,0.010687634233566484
40,139,car_41,33.201,3,0,0.010687634233566484
41,140,car_42,26.896,3,0,0.042642406397934866
42,141,car_43,26.896,3,0,0.042642406397934866
43,142,car_44,31.085,3,0,0.050515984285335165
44,143,car_45,31.085,3,0,0.050515984285335165
45,145,car_46,0.462,2,0,0.00016234394211070497
46,146,car_47,0.777,2,0,0.0001373155328621648
47,147,car_48,1.283,2,0,0.00025757954542696897
48,148,car_49,1.488,2,0,0.0
49,149,car_50,23.051,3,0,0.05547484605159434
50,150,car_51,21.239,3,0,0.05774137408324793
51,151,car_52,21.301,3,0,0.05618852125674363
52,153,car_53,24.431,3,0,0.056091178035610235
53,156,car_54,17.928,3,0,0.003483635430122182
54,173,car_55,0.728,3,0,0.00010370104386826154
55,180,car_56,0.255,2,0,1.692885111569849e-05
56,190,car_57,0.92,2,0,1.4414915881885105e-05
57,206,car_58,0.06,3,0,2.3404213293760914e-05
58,207,car_59,0.067,3,0,0.00010908730677350964
59,208,car_60,13.469,3,0,0.023765444247532515
60,209,car_61,0.126,2,0,0.0002488254106804295
61,37956,car_62,6.77,3,0,0.00695041699080285
62,37957,car_63,22.468,3,0,0.050192502566209635
63,37962,car_64,14.712,2,0,0.1012786010922736
64,37973,car_65,0.367,2,0,4.755849556171056e-05
65,37992,car_66,13.558,2,0,0.036485409158412356
66,37996,car_67,25.958,2,0,0.03873059773368074
67,37997,car_68,25.958,2,0,0.03873059773368074
68,37998,car_69,1.414,3,0,0.0
69,38002,car_70,30.397,3,0,0.15774082536431747
70,38003,car_71,6.76,2,0,0.019003580169549283
71,38012,car_72,25.655,2,0,0.04993997020480101
72,38013,car_73,17.654,1,0,0.04517972575649361
73,38017,car_74,14.631,2,0,0.04410724228815618
74,38019,car_75,9.077,2,0,0.029338335471728774
75,38020,car_76,25.451,3,0,0.03792629556640951
76,38021,car_77,25.451,3,0,0.03792629556640951
77,38072,car_78,36.647,3,0,0.03750934811149747
78,38073,car_79,31.367,3,0,0.037691156828274994
79,38074,car_80,25.562,3,0,0.028307052332428518
80,38075,car_81,38.028,3,0,0.036260734101875004
81,38076,car_82,28.142,3,0,0.03746796690646583
82,38077,car_83,21.812,3,0,0.020098546551093145
83,38079,car_84,23.829,2,0,0.020691813627752666
84,38080,car_85,28.337,3,0,0.0203015620220936
85,38081,car_86,30.052,2,0,0.030191310572501875
86,38082,car_87,30.174,3,0,0.038432191419280455
